,PersonID,DIV_CDE,DEGR_CDE,DEGREE_DESC,DTE_DEGR_CONFERRED,MAJOR_1,MAJOR_1_DESC
29,76553470,UG,BS   ,Bachelor of Science,4/27/23,BSKEX,Kinesiology: Exercise Science
30,76558790,UG,BS   ,Bachelor of Science,5/3/22,SDMAT,Secondary Mathematics
31,56032900,UG,BS   ,Bachelor of Science,4/26/19,BIOPR,BIOLOGY: PRE-MED
32,57624910,UG,BS   ,Bachelor of Science,4/24/20,BSCOM,COMMUNICATION
33,57626240,UG,BS   ,Bachelor of Science,4/26/19,BSMGT,Management
34,80160430,UG,BS   ,Bachelor of Science,12/12/23,BSMLM,Ministerial Leadership: Christian Ministry (SN)
35,80169740,UG,BS   ,Bachelor of Science,5/2/23,BSMCO,MINISTERIAL LEADERSHIP: CHRISTIAN MINISTRY (SN)
36,80202990,UG,BS   ,Bachelor of Science,5/3/22,ELEMK,Elementary Education
37,80205650,UG,BS   ,Bachelor of Science,5/3/22,BSLDO,Organizational Leadership (SN)
38,81543630,UG,BS   ,Bachelor of Science,12/7/23,BSINB,International Business
39,52315550,UG,BS   ,Bachelor of Science,4/26/19,ELEMK,Elementary Education
40,44650760,UG,BSW  ,Bachelor of Social Work,4/26/19,BSW,Social Work
41,53898250,UG,BS   ,Bachelor of Science,8/31/18,BSINB,International Business
42,981540,UG,BS   ,Bachelor of Science,4/26/19,BSECE,Early Childhood Education
43,45435460,UG,BS   ,Bachelor of Science,4/26/19,BSBIO,General Biology
44,48679330,UG,BS   ,Bachelor of Science,7/31/18,BSFLM,Film Production
45,49220640,UG,BS   ,Bachelor of Science,4/24/20,BSLDO,Organizational Leadership (SN)
46,56229740,UG,BS   ,Bachelor of Science,4/26/19,BSPSY,Psychology
47,52124030,UG,BBA  ,Bachelor of Busi Admin,12/10/20,BBA,Business Administration (SN)
48,46802700,UG,BS   ,Bachelor of Science,4/26/19,BSFLM,Film Production
49,48410670,UG,BS   ,Bachelor of Science,5/4/18,BSPSY,Psychology
50,48415990,UG,BS   ,Bachelor of Science,5/4/18,ELEMK,Elementary Education
51,76589380,UG,BA   ,Bachelor of Arts,5/3/22,BAEIC,ENGLISH & INTERCULTURAL STUDIES
52,62077750,UG,BS   ,Bachelor of Science,4/24/20,BSHUS,Human Services (SN)
53,4692240,UG,BS   ,Bachelor of Science,12/14/18,BSMUB,MUSIC BUSINESS
54,80210970,UG,BS   ,Bachelor of Science,4/30/21,ELEMK,Elementary Education
55,80248210,UG,BS   ,Bachelor of Science,4/30/21,BSDMD,Digital Media & Design (SN)
56,80249540,UG,BS   ,Bachelor of Science,6/30/21,BSLDO,Organizational Leadership (SN)
57,45439450,UG,BFA  ,Bachelor of Fine Arts,12/14/18,BFACW,Creative Writing
58,45440780,UG,BS   ,Bachelor of Science,12/14/18,BSMAT,Mathematics
59,55200320,UG,BS   ,Bachelor of Science,4/24/20,BSDMD,Digital Media & Design (SN)
60,5679100,UG,BS   ,Bachelor of Science,5/4/18,BSSME,SPORT MANAGEMENT: PE & COACHING
61,55871970,UG,BBA  ,Bachelor of Busi Admin,10/31/19,BBA,Business Administration (SN)
62,53145470,UG,BA   ,Bachelor of Arts,12/10/20,BAMUS,Music
63,45410190,UG,BS   ,Bachelor of Science,4/26/19,BSMUB,MUSIC BUSINESS
64,52029600,UG,BSW  ,Bachelor of Social Work,5/4/18,BSW,Social Work
65,54095090,UG,BS   ,Bachelor of Science,8/20/21,BSCYF,"CHILDREN, YOUTH, & FAMILY MINISTRIES"
66,57064980,UG,BBA  ,Bachelor of Busi Admin,4/26/19,BBA,Business Administration (SN)
67,57066310,UG,BS   ,Bachelor of Science,10/31/18,SDENG,Secondary English
68,57068970,UG,BS   ,Bachelor of Science,4/26/19,ELEMK,Elementary Education
69,57072960,UG,BS   ,Bachelor of Science,4/26/19,BIOPR,BIOLOGY: PRE-MED
70,56486430,UG,BS   ,Bachelor of Science,4/26/19,BSCRM,Criminal Justice
71,56495740,UG,BS   ,Bachelor of Science,12/14/18,BSCOM,COMMUNICATION
72,80256190,UG,BS   ,Bachelor of Science,10/27/21,BSMPO,MINISTERIAL LDRSP: PASTORAL CARE & COUNSELING
73,50770090,UG,BS   ,Bachelor of Science,4/28/22,BSGS,General Studies
74,50774080,UG,BS   ,Bachelor of Science,9/30/18,BSCOM,COMMUNICATION
75,47556810,UG,BS   ,Bachelor of Science,4/26/19,BSMGT,Management
76,53101580,UG,BS   ,Bachelor of Science,12/14/18,BSMUB,MUSIC BUSINESS
77,47370610,UG,BS   ,Bachelor of Science,5/4/18,BSYFM,YOUTH & FAMILY MINISTRIES
78,52136000,UG,BA   ,Bachelor of Arts,12/14/18,BAMDS,Multidisciplinary Studies
79,76707750,UG,BS   ,Bachelor of Science,12/10/20,BSHUS,Human Services (SN)
80,62424880,UG,BBA  ,Bachelor of Busi Admin,4/24/20,BBA,Business Administration (SN)
81,55931820,UG,BS   ,Bachelor of Science,5/4/18,ELEMK,Elementary Education
82,47475680,UG,BS   ,Bachelor of Science,5/4/18,BSLDO,Organizational Leadership (SN)
83,47477010,UG,BBA  ,Bachelor of Busi Admin,10/31/19,BBA,Business Administration (SN)
84,53229260,UG,BS   ,Bachelor of Science,12/10/20,BSINB,International Business
85,52141320,UG,BS   ,Bachelor of Science,5/4/18,BSFIN,Finance
86,52973900,UG,BS   ,Bachelor of Science,5/4/18,BSCOM,COMMUNICATION
87,48450570,UG,BS   ,Bachelor of Science,8/31/18,BSKEX,Kinesiology: Exercise Science
88,49574420,UG,BS   ,Bachelor of Science,5/4/18,BSLDO,Organizational Leadership (SN)
89,49577080,UG,BS   ,Bachelor of Science,4/30/18,ELEMK,Elementary Education
90,5399800,UG,BS   ,Bachelor of Science,12/13/19,BSMNL,MINISTERIAL LEADERSHIP (SN)
91,49582400,UG,BS   ,Bachelor of Science,12/14/18,BSLDR,Organizational Leadership
92,49357630,UG,BS   ,Bachelor of Science,5/4/18,BSPSY,Psychology
93,52340820,UG,BS   ,Bachelor of Science,5/4/18,BSHUS,Human Services (SN)
94,47506270,UG,AA   ,Associate of Arts,7/31/20,AAGN,General Education
95,53624270,UG,BS   ,Bachelor of Science,9/30/19,BSGRD,Graphic Design
96,49329700,UG,BS   ,Bachelor of Science,5/4/18,BSPSY,Psychology
97,56990500,UG,BS   ,Bachelor of Science,5/4/18,SDENG,Secondary English
98,54807970,UG,BBA  ,Bachelor of Busi Admin,7/31/19,BBALD,BUSINESS LEADERSHIP (SN)
99,73970610,UG,BA   ,Bachelor of Arts,6/28/22,BAGRD,Graphic Design
100,73973270,UG,BS   ,Bachelor of Science,8/23/22,BSFLM,Film Production
101,73975930,UG,BS   ,Bachelor of Science,12/10/21,BSKPT,Kinesiology: Pre-Physical Therapy
102,73983910,UG,BS   ,Bachelor of Science,5/3/22,ELEMK,Elementary Education
103,73986570,UG,BA   ,Bachelor of Arts,12/10/21,BAWM,WORSHIP MINISTRIES
104,50575910,UG,BS   ,Bachelor of Science,7/31/18,BSBIO,General Biology
105,50577240,UG,BS   ,Bachelor of Science,5/4/18,BSDMD,Digital Media & Design (SN)
106,823270,UG,BS   ,Bachelor of Science,12/10/20,BSACT,Accounting
107,50009330,UG,BS   ,Bachelor of Science,12/14/18,ELEMK,Elementary Education
108,50013320,UG,BS   ,Bachelor of Science,4/26/19,BSLDO,Organizational Leadership (SN)
109,48856220,UG,BA   ,Bachelor of Arts,5/4/18,BAEIC,ENGLISH & INTERCULTURAL STUDIES
110,48916070,UG,BS   ,Bachelor of Science,4/24/20,BSPSO,PSYCHOLOGY (SN)
111,48164620,UG,BS   ,Bachelor of Science,4/26/19,ESED5,Exceptional Student Education 4/1
112,901740,UG,BSW  ,Bachelor of Social Work,5/4/18,BSW,Social Work
113,932330,UG,BS   ,Bachelor of Science,12/14/18,BSBPL,Business & Professional Leadership (SN)
114,49767270,UG,BS   ,Bachelor of Science,5/4/18,BSYFM,YOUTH & FAMILY MINISTRIES
115,49768600,UG,BA   ,Bachelor of Arts,5/3/22,BAMDS,Multidisciplinary Studies
116,49785890,UG,BS   ,Bachelor of Science,4/26/19,BSLDR,Organizational Leadership
117,49365610,UG,BS   ,Bachelor of Science,5/4/18,BSCHM,CHURCH MUSIC
118,49366940,UG,BA   ,Bachelor of Arts,2/28/18,BAEIC,ENGLISH & INTERCULTURAL STUDIES
119,55011460,UG,BA   ,Bachelor of Arts,5/4/18,BAMDS,Multidisciplinary Studies
120,49505260,UG,BS   ,Bachelor of Science,5/4/18,BSPMN,PRACTICAL MINISTRIES
121,81874800,UG,BS   ,Bachelor of Science,8/23/22,BSPSO,PSYCHOLOGY (SN)
122,81878790,UG,BS   ,Bachelor of Science,10/28/22,BSLDO,Organizational Leadership (SN)
123,45922240,UG,BBA  ,Bachelor of Busi Admin,5/4/18,BBA,Business Administration (SN)
124,1111880,UG,BS   ,Bachelor of Science,1/20/23,BSPSO,PSYCHOLOGY (SN)
125,33946920,UG,BS   ,Bachelor of Science,6/28/22,BSBPL,Business & Professional Leadership (SN)
126,81942630,UG,BA   ,Bachelor of Arts,12/15/22,BLCTU,"LANGUAGE, CULTURE, & TRADE: CUSTOM"
127,85286250,UG,BS   ,Bachelor of Science,12/7/23,BSLGS,Legal Studies
128,85292900,UG,AA   ,Associate of Arts,12/10/20,AAGN,General Education
129,85298220,UG,BS   ,Bachelor of Science,1/9/23,BSHUS,Human Services (SN)
130,129112410,UG,BS   ,Bachelor of Science,6/27/23,BSBPL,Business & Professional Leadership (SN)
131,75137020,UG,BS   ,Bachelor of Science,4/27/23,BSCOM,COMMUNICATION
132,53825100,UG,BS   ,Bachelor of Science,6/30/21,BSLMH,Ministerial Leadership: Humanitarian Ministry (SN)
133,85319500,UG,BS   ,Bachelor of Science,4/27/23,BSN,Nursing
134,85342110,UG,AA   ,Associate of Arts,12/10/21,AAGN,General Education
135,129682980,UG,BS   ,Bachelor of Science,12/12/23,BSPCC,Psychology: Pre-Counseling (SN)
136,85367380,UG,ACM  ,Assoc Christian Ministry,4/30/21,ACM,Christian Ministry (SN)
137,85371370,UG,ACM  ,Assoc Christian Ministry,4/30/21,ACM,Christian Ministry (SN)
138,85383340,UG,AML  ,Assoc Min Leadership,4/30/21,AML,Ministerial Leadership (SN)
139,26005490,UG,BBA  ,Bachelor of Busi Admin,3/31/19,BBA,Business Administration (SN)
140,85437870,UG,BS   ,Bachelor of Science,4/30/21,BSLDR,Organizational Leadership
141,85439200,UG,BS   ,Bachelor of Science,4/29/22,BSFIN,Finance
142,85421910,UG,BS   ,Bachelor of Science,8/17/21,BSSMC,SPORT MANAGEMENT: COACHING
143,61908840,UG,BS   ,Bachelor of Science,4/29/22,BSACT,Accounting
144,61924800,UG,BS   ,Bachelor of Science,11/30/20,BSMLX,MINISTERIAL LEADERSHIP (SN)
145,125267380,UG,BS   ,Bachelor of Science,5/2/23,BPMPO,MIN LDSHP: PASTORAL CARE & COUNSELING (PA-O)
146,120361010,UG,BS   ,Bachelor of Science,12/12/23,BSMLP,Ministerial Ldrsp: Pastoral Care & Counseling
147,74132870,UG,BS   ,Bachelor of Science,4/27/23,BSMGT,Management
148,29192170,UG,BS   ,Bachelor of Science,4/30/21,BSMCO,MINISTERIAL LEADERSHIP: CHRISTIAN MINISTRY (SN)
149,85484420,UG,BS   ,Bachelor of Science,12/10/20,BSBIO,General Biology
150,85524320,UG,BA   ,Bachelor of Arts,4/27/23,BPMWM,WORSHIP MINISTRIES (PA-M)
151,73997210,UG,BS   ,Bachelor of Science,4/28/22,BSMGT,Management
152,73999870,UG,BS   ,Bachelor of Science,12/10/21,BSMGT,Management
153,74006520,UG,BS   ,Bachelor of Science,8/23/22,BSLDR,Organizational Leadership
154,74019820,UG,BS   ,Bachelor of Science,5/3/22,BSKEX,Kinesiology: Exercise Science
155,74021150,UG,BS   ,Bachelor of Science,8/30/21,BSMUB,MUSIC BUSINESS
156,74027800,UG,ACM  ,Assoc Christian Ministry,4/24/20,ACM,Christian Ministry (SN)
157,61978000,UG,BA   ,Bachelor of Arts,4/26/19,BAMDS,Multidisciplinary Studies
158,85624070,UG,BA   ,Bachelor of Arts,12/7/23,BAVAR,Visual Arts
159,74033120,UG,BS   ,Bachelor of Science,4/30/21,BSMAT,Mathematics
160,74039770,UG,BS   ,Bachelor of Science,12/10/21,BSFIN,Finance
161,74041100,UG,BS   ,Bachelor of Science,5/3/22,BSCRM,Criminal Justice
162,74045090,UG,BS   ,Bachelor of Science,4/30/21,BSACT,Accounting
163,74049080,UG,BS   ,Bachelor of Science,8/18/21,BSLDR,Organizational Leadership
164,74051740,UG,BS   ,Bachelor of Science,4/29/22,BIOPR,BIOLOGY: PRE-MED
165,74054400,UG,BS   ,Bachelor of Science,4/30/21,BSLDR,Organizational Leadership
166,74055730,UG,BSW  ,Bachelor of Social Work,12/10/21,BSW,Social Work
167,74057060,UG,BS   ,Bachelor of Science,4/28/22,BSINB,International Business
168,74061050,UG,BME  ,Bachelor of Music Educati,4/27/23,BMED,Music Education
169,74065040,UG,AML  ,Assoc Min Leadership,9/10/20,AML,Ministerial Leadership (SN)
170,74067700,UG,BS   ,Bachelor of Science,11/21/22,BSMGT,Management
171,74077010,UG,BS   ,Bachelor of Science,1/11/23,BSPMN,PRACTICAL MINISTRIES
172,74078340,UG,BS   ,Bachelor of Science,4/28/22,BSCOM,COMMUNICATION
173,74079670,UG,BSW  ,Bachelor of Social Work,12/8/22,BSW,Social Work
174,74081000,UG,BS   ,Bachelor of Science,4/27/23,BSCYF,"CHILDREN, YOUTH, & FAMILY MINISTRIES"
175,62001940,UG,BS   ,Bachelor of Science,8/20/20,BSSME,SPORT MANAGEMENT: PE & COACHING
176,62021890,UG,BS   ,Bachelor of Science,12/13/19,BSCRM,Criminal Justice
177,39358690,UG,BS   ,Bachelor of Science,5/4/18,BSBPL,Business & Professional Leadership (SN)
178,85584170,UG,BS   ,Bachelor of Science,8/22/23,BSPSO,PSYCHOLOGY (SN)
179,74083660,UG,BS   ,Bachelor of Science,4/28/22,BSN,Nursing
180,74092970,UG,BS   ,Bachelor of Science,4/13/23,BSMUB,MUSIC BUSINESS
181,74094300,UG,AA   ,Associate of Arts,3/20/21,AAGT,GENERAL EDUCATION
182,74095630,UG,BS   ,Bachelor of Science,5/3/22,BSPSY,Psychology
183,74096960,UG,BS   ,Bachelor of Science,4/30/21,BSLDR,Organizational Leadership
184,74098290,UG,BS   ,Bachelor of Science,5/3/22,BSKEX,Kinesiology: Exercise Science
185,74099620,UG,BS   ,Bachelor of Science,4/28/22,BSN,Nursing
186,74100950,UG,BME  ,Bachelor of Music Educati,4/28/22,BMED,Music Education
187,74103610,UG,BS   ,Bachelor of Science,4/30/21,SDENG,Secondary English
188,74104940,UG,BS   ,Bachelor of Science,4/29/22,BSWCJ,Social Work & Criminal Justice
189,74108930,UG,AA   ,Associate of Arts,8/30/21,AAGN,General Education
190,74110260,UG,BS   ,Bachelor of Science,4/30/21,BSCOM,COMMUNICATION
191,74111590,UG,BS   ,Bachelor of Science,12/8/22,BSBIM,Biology: Medical Sciences
192,74112920,UG,BS   ,Bachelor of Science,5/3/22,ELEMK,Elementary Education
193,74114250,UG,BS   ,Bachelor of Science,5/2/23,BSMCO,MINISTERIAL LEADERSHIP: CHRISTIAN MINISTRY (SN)
194,74116910,UG,BA   ,Bachelor of Arts,12/10/21,BAICS,INTERCULTURAL STUDIES
195,74118240,UG,BA   ,Bachelor of Arts,5/3/22,BAEIC,ENGLISH & INTERCULTURAL STUDIES
196,74119570,UG,BS   ,Bachelor of Science,9/2/22,BSGRD,Graphic Design
197,74120900,UG,BS   ,Bachelor of Science,4/29/22,BSCOM,COMMUNICATION
198,62032530,UG,BS   ,Bachelor of Science,5/4/18,BSCRM,Criminal Justice
199,62036520,UG,BS   ,Bachelor of Science,12/10/20,BSPSO,PSYCHOLOGY (SN)
200,62037850,UG,BA   ,Bachelor of Arts,12/13/19,BABS,BIBLICAL STUDIES
201,62068440,UG,AML  ,Assoc Min Leadership,4/26/19,AML,Ministerial Leadership (SN)
202,62077750,UG,AA   ,Associate of Arts,7/31/18,AAGN,General Education
203,39737740,UG,BS   ,Bachelor of Science,5/2/23,BSGSU,GENERAL STUDIES (SN)
204,58671620,UG,BBA  ,Bachelor of Busi Admin,12/10/21,BBA,Business Administration (SN)
205,74124890,UG,BS   ,Bachelor of Science,12/10/21,BSN,Nursing
206,74128880,UG,BS   ,Bachelor of Science,4/30/21,BSMLP,Ministerial Ldrsp: Pastoral Care & Counseling
207,74130210,UG,BS   ,Bachelor of Science,9/1/21,BSPMN,PRACTICAL MINISTRIES
208,74132870,UG,BA   ,Bachelor of Arts,4/27/23,BAMDS,Multidisciplinary Studies
209,74135530,UG,BA   ,Bachelor of Arts,1/19/23,BAICS,INTERCULTURAL STUDIES
210,74138190,UG,BS   ,Bachelor of Science,5/3/22,BSMUB,MUSIC BUSINESS
211,74140850,UG,BS   ,Bachelor of Science,4/30/21,BSMKT,Marketing
212,74142180,UG,BA   ,Bachelor of Arts,4/30/21,BAEIC,ENGLISH & INTERCULTURAL STUDIES
213,74144840,UG,BS   ,Bachelor of Science,8/17/22,BSBIM,Biology: Medical Sciences
214,74152820,UG,BFA  ,Bachelor of Fine Arts,4/28/22,BFACW,Creative Writing
215,74155480,UG,BS   ,Bachelor of Science,4/30/21,BSMNL,MINISTERIAL LEADERSHIP (SN)
216,74158140,UG,BA   ,Bachelor of Arts,12/10/21,BAENG,ENGLISH
217,74159470,UG,BS   ,Bachelor of Science,9/1/21,BSPMN,PRACTICAL MINISTRIES
218,74162130,UG,BSW  ,Bachelor of Social Work,4/30/21,BSW,Social Work
219,74163460,UG,BS   ,Bachelor of Science,5/3/22,BSMGT,Management
220,74170110,UG,BS   ,Bachelor of Science,1/20/23,BSN,Nursing
221,74172770,UG,BS   ,Bachelor of Science,4/30/21,BSACT,Accounting
222,62096370,UG,BS   ,Bachelor of Science,12/14/18,BSMNL,MINISTERIAL LEADERSHIP (SN)
223,64137920,UG,BSW  ,Bachelor of Social Work,4/26/19,BSW,Social Work
224,41505310,UG,BS   ,Bachelor of Science,10/31/19,BSMNL,MINISTERIAL LEADERSHIP (SN)
225,43751680,UG,BBA  ,Bachelor of Busi Admin,7/10/20,BBA,Business Administration (SN)
226,74174100,UG,BS   ,Bachelor of Science,4/29/22,BSBIO,General Biology
227,74175430,UG,BS   ,Bachelor of Science,4/28/22,BSN,Nursing
228,74178090,UG,AML  ,Assoc Min Leadership,6/30/21,AML,Ministerial Leadership (SN)
229,74179420,UG,BS   ,Bachelor of Science,12/6/23,ELEMK,Elementary Education
230,74180750,UG,BSW  ,Bachelor of Social Work,12/10/20,BSW,Social Work
231,74183410,UG,BS   ,Bachelor of Science,4/28/22,BSN,Nursing
232,74187400,UG,BS   ,Bachelor of Science,4/29/22,BSPLS,Political Science
233,74194050,UG,BS   ,Bachelor of Science,4/28/22,BSN,Nursing
234,74199370,UG,BS   ,Bachelor of Science,12/10/20,BSPSY,Psychology
235,74203360,UG,BS   ,Bachelor of Science,4/29/22,BSACT,Accounting
236,74206020,UG,BS   ,Bachelor of Science,4/30/21,BSMLX,MINISTERIAL LEADERSHIP (SN)
237,74207350,UG,BA   ,Bachelor of Arts,4/29/22,BAEIC,ENGLISH & INTERCULTURAL STUDIES
238,74216660,UG,BS   ,Bachelor of Science,12/10/21,BSPSY,Psychology
239,62140260,UG,BS   ,Bachelor of Science,12/8/22,SDSSC,Secondary Social Sciences
240,60109350,UG,BA   ,Bachelor of Arts,3/3/22,BABS,BIBLICAL STUDIES
241,64181810,UG,BS   ,Bachelor of Science,12/17/20,BSPSO,PSYCHOLOGY (SN)
242,64183140,UG,BS   ,Bachelor of Science,8/31/19,BSMNL,MINISTERIAL LEADERSHIP (SN)
243,43843450,UG,BBA  ,Bachelor of Busi Admin,5/4/18,BBA,Business Administration (SN)
244,74219320,UG,BS   ,Bachelor of Science,4/29/22,BSCRM,Criminal Justice
245,74220650,UG,BS   ,Bachelor of Science,5/3/22,BSCRM,Criminal Justice
246,74221980,UG,BA   ,Bachelor of Arts,4/30/21,BAGRD,Graphic Design
247,74223310,UG,BS   ,Bachelor of Science,4/29/22,BSFIN,Finance
248,74228630,UG,BFA  ,Bachelor of Fine Arts,4/29/22,BFACW,Creative Writing
249,74237940,UG,BS   ,Bachelor of Science,5/3/22,BSMCO,MINISTERIAL LEADERSHIP: CHRISTIAN MINISTRY (SN)
250,73191230,UG,BS   ,Bachelor of Science,12/15/22,BSMUB,MUSIC BUSINESS
251,74239270,UG,BME  ,Bachelor of Music Educati,4/28/22,BMED,Music Education
252,74251240,UG,BBA  ,Bachelor of Busi Admin,12/10/21,BBA,Business Administration (SN)
253,74264540,UG,BA   ,Bachelor of Arts,8/19/21,BAICS,INTERCULTURAL STUDIES
254,62152230,UG,BS   ,Bachelor of Science,4/30/21,BSGRD,Graphic Design
255,64240330,UG,BS   ,Bachelor of Science,4/30/21,BSMKT,Marketing
256,74265870,UG,BS   ,Bachelor of Science,12/15/22,BSBIM,Biology: Medical Sciences
257,74267200,UG,BS   ,Bachelor of Science,5/3/22,BSGRD,Graphic Design
258,74272520,UG,BA   ,Bachelor of Arts,5/3/22,BLCTP,"LANGUAGE, CULTURE, & TRADE: POLITICAL SCIENCE"
259,74275180,UG,BS   ,Bachelor of Science,4/29/22,BSCYF,"CHILDREN, YOUTH, & FAMILY MINISTRIES"
260,74279170,UG,BS   ,Bachelor of Science,4/27/23,BSSMB,SPORT MANAGEMENT: BUSINESS
261,74281830,UG,BS   ,Bachelor of Science,12/10/21,BSGRD,Graphic Design
262,74288480,UG,BS   ,Bachelor of Science,5/3/22,BSLDR,Organizational Leadership
263,74293800,UG,BS   ,Bachelor of Science,3/16/22,BSECE,Early Childhood Education
264,74299120,UG,BS   ,Bachelor of Science,7/5/22,BSN,Nursing
265,74300450,UG,BS   ,Bachelor of Science,4/30/21,BSLDR,Organizational Leadership
266,74301780,UG,BS   ,Bachelor of Science,5/3/22,BSBPX,BUSINESS & PROFESSIONAL LEADERSHIP (SN)
267,74303110,UG,BS   ,Bachelor of Science,5/3/22,BSSMB,SPORT MANAGEMENT: BUSINESS
268,74304440,UG,BBA  ,Bachelor of Busi Admin,7/10/20,BBALD,BUSINESS LEADERSHIP (SN)
269,74311090,UG,BS   ,Bachelor of Science,5/3/22,BSFLM,Film Production
270,62193460,UG,BS   ,Bachelor of Science,8/31/19,BSLDO,Organizational Leadership (SN)
271,64257620,UG,BS   ,Bachelor of Science,6/30/21,BSFLM,Film Production
272,64280230,UG,AML  ,Assoc Min Leadership,4/26/19,AML,Ministerial Leadership (SN)
273,41789930,UG,BS   ,Bachelor of Science,8/31/18,BSLDO,Organizational Leadership (SN)
274,41820520,UG,BS   ,Bachelor of Science,8/31/19,BSPSO,PSYCHOLOGY (SN)
275,41847120,UG,BS   ,Bachelor of Science,5/4/18,BSPSO,PSYCHOLOGY (SN)
276,131294940,UG,BS   ,Bachelor of Science,4/27/23,BSMKT,Marketing
277,70738710,UG,BS   ,Bachelor of Science,12/7/23,BSKAT,Kinesiology: Pre-Athletic Training
278,74319070,UG,BA   ,Bachelor of Arts,12/15/22,BAMDS,Multidisciplinary Studies
279,74321730,UG,BS   ,Bachelor of Science,12/10/21,BSLDO,Organizational Leadership (SN)
280,72664550,UG,BS   ,Bachelor of Science,4/27/23,BSGRD,Graphic Design
281,74332370,UG,BS   ,Bachelor of Science,12/10/21,BSPSY,Psychology
282,74335030,UG,BA   ,Bachelor of Arts,5/3/22,BAICS,INTERCULTURAL STUDIES
283,74337690,UG,BS   ,Bachelor of Science,4/29/22,BSBIO,General Biology
284,74339020,UG,BS   ,Bachelor of Science,12/10/21,BSACT,Accounting
285,74344340,UG,BS   ,Bachelor of Science,5/9/23,BSBCR,BIOCHEMISTRY: RESEARCH
286,74350990,UG,BS   ,Bachelor of Science,12/10/21,BSPSY,Psychology
287,74352320,UG,BS   ,Bachelor of Science,12/10/21,BSKPT,Kinesiology: Pre-Physical Therapy
288,62233360,UG,BS   ,Bachelor of Science,4/30/21,BSBCT,BROADCASTING
289,62245330,UG,BBA  ,Bachelor of Busi Admin,12/14/18,BBA,Business Administration (SN)
290,64293530,UG,BS   ,Bachelor of Science,4/26/19,ELEMK,Elementary Education
291,64301510,UG,BS   ,Bachelor of Science,8/20/20,BSMNL,MINISTERIAL LEADERSHIP (SN)
292,64302840,UG,BS   ,Bachelor of Science,4/26/19,BSHUS,Human Services (SN)
293,64312150,UG,BBA  ,Bachelor of Busi Admin,9/30/18,BBA,Business Administration (SN)
294,64316140,UG,BS   ,Bachelor of Science,12/14/18,BSKPT,Kinesiology: Pre-Physical Therapy
295,64326780,UG,BS   ,Bachelor of Science,12/13/19,BSMNL,MINISTERIAL LEADERSHIP (SN)
296,70794570,UG,BS   ,Bachelor of Science,12/7/23,SDSSC,Secondary Social Sciences
